Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Departamento;Provincia;Periodo
Garay, SANTA FE;628,000;1,780,000;4,420;11.15;9.21;9.08;66;66;-102;-99;61;61;Garay;SANTA FE;01/2024
Córdoba, CÓRDOBA;50,900,000;52,600,000;12,300,000;13.58;15.79;9.09;61;55;-98;-98;54;50;Córdoba;CÓRDOBA;01/2024
Languiñeo, CHUBUT;86,800;--;302;10.48;--;--;102;102;-93;-93;90;90;Languiñeo;CHUBUT;01/2024
Rosario de Lerma, SALTA;2,560,000;4,330,000;480,000;7.60;13.53;5.16;90;75;-104;-103;94;73;Rosario de Lerma;SALTA;01/2024
Quilmes, BUENOS AIRES;7,560,000;11,900,000;24,300,000;15.34;16.91;10.37;53;53;-100;-100;46;46;Quilmes;BUENOS AIRES;01/2024
San Javier, SANTA FE;252,000;3,290,000;564;12.39;6.48;14.07;68;61;-103;-98;62;51;San Javier;SANTA FE;01/2024
Montecarlo, MISIONES;707,000;2,140,000;7,490;13.80;9.56;13.21;77;77;-103;-100;69;69;Montecarlo;MISIONES;01/2024
Cafayate, SALTA;315,000;2,340,000;51,800;14.72;12.80;9.63;79;71;-100;-93;70;66;Cafayate;SALTA;01/2024
San Vicente, BUENOS AIRES;4,780,000;1,300,000;3,160,000;11.15;14.03;9.11;64;54;-102;-102;61;49;San Vicente;BUENOS AIRES;01/2024
25 de Mayo, RÍO NEGRO;78,300;11,700;1,500,000;2.17;12.33;9.70;747;88;-94;-91;776;81;25 de Mayo;RÍO NEGRO;01/2024
Junín, MENDOZA;2,300,000;979,000;807,000;12.33;14.31;12.19;75;69;-103;-101;68;62;Junín;MENDOZA;01/2024
San Martín, SAN JUAN;464,000;34,200;364,000;12.54;11;10.15;71;71;-103;-101;65;65;San Martín;SAN JUAN;01/2024
José C. Paz, BUENOS AIRES;7,130,000;10,100,000;10,800,000;15.19;16.10;8.79;53;51;-99;-96;45;45;José C. Paz;BUENOS AIRES;01/2024
San Justo, CÓRDOBA;8,380,000;4,880,000;110,000;14.74;18.76;12.61;64;58;-101;-97;56;51;San Justo;CÓRDOBA;01/2024
Merlo, BUENOS AIRES;9,700,000;12,100,000;18,600,000;16.08;17.38;10.04;52;51;-100;-100;45;45;Merlo;BUENOS AIRES;01/2024
Marcos Paz, BUENOS AIRES;922,000;1,330,000;2,800,000;10.73;13.75;8.08;69;59;-105;-105;70;52;Marcos Paz;BUENOS AIRES;01/2024
Tehuelches, CHUBUT;9,010;704;557,000;9.64;8.72;10.17;103;95;-89;-84;96;87;Tehuelches;CHUBUT;01/2024
9 de Julio, BUENOS AIRES;2,160,000;539,000;799,000;11.33;16.64;13.31;83;54;-99;-99;75;47;9 de Julio;BUENOS AIRES;01/2024
San Fernando, CHACO;10,200,000;22,900,000;3,190,000;11.62;14.22;12.37;78;59;-100;-99;72;53;San Fernando;CHACO;01/2024
Trenel, LA PAMPA;301,000;45,500;4,260;9.55;17.60;9.87;73;65;-98;-98;73;56;Trenel;LA PAMPA;01/2024
Dr. Manuel Belgrano, JUJUY;10,500,000;19,600,000;2,060,000;12.80;16.15;8.97;76;63;-98;-97;70;59;Dr. Manuel Belgrano;JUJUY;01/2024
Cerrillos, SALTA;1,600,000;3,550,000;482,000;12.27;11.88;9.06;79;76;-104;-99;73;73;Cerrillos;SALTA;01/2024
San Martín, SANTA FE;1,850,000;3,310,000;33,000;13.38;15.68;17.10;66;62;-103;-102;60;53;San Martín;SANTA FE;01/2024
Monte Caseros, CORRIENTES;2,230,000;1,540,000;28,300;9.39;13.32;11.40;87;69;-99;-93;82;63;Monte Caseros;CORRIENTES;01/2024
Libertador General San Martín, SAN LUIS;5,110;645;220;5.32;9.35;--;108;86;-110;-102;121;75;Libertador General San Martín;SAN LUIS;01/2024
General Las Heras, BUENOS AIRES;477,000;254,000;1,220,000;15.66;21.29;5.66;59;51;-106;-103;53;43;General Las Heras;BUENOS AIRES;01/2024
Lavalle, CORRIENTES;687,000;2,440,000;297;9.34;7.37;--;103;85;-102;-102;99;95;Lavalle;CORRIENTES;01/2024
Colón, CÓRDOBA;11,400,000;10,600,000;1,540,000;12.16;14.66;10;65;59;-102;-100;60;55;Colón;CÓRDOBA;01/2024
Ituzaingó, BUENOS AIRES;3,170,000;3,400,000;5,450,000;14.82;20.31;11.54;53;46;-99;-96;46;40;Ituzaingó;BUENOS AIRES;01/2024
Esquina, CORRIENTES;597,000;2,130,000;19,900;11.45;11.28;11.90;82;73;-103;-100;74;66;Esquina;CORRIENTES;01/2024
Tala, ENTRE RÍOS;561,000;1,840,000;74,200;13.84;14.10;15.02;77;66;-102;-102;68;60;Tala;ENTRE RÍOS;01/2024
Rawson, CHUBUT;9,270,000;661,000;9,500,000;11.57;15.77;11.56;77;74;-99;-99;70;65;Rawson;CHUBUT;01/2024
Collón Curá, NEUQUÉN;192,000;49,700;440,000;9.15;9.51;14.49;110;70;-92;-92;105;66;Collón Curá;NEUQUÉN;01/2024
Graneros, TUCUMÁN;731,000;718,000;1,190;12.39;15.72;10.62;78;65;-96;-92;71;61;Graneros;TUCUMÁN;01/2024
Hurlingham, BUENOS AIRES;3,800,000;3,690,000;4,800,000;14.37;18.62;10.59;52;50;-99;-97;45;43;Hurlingham;BUENOS AIRES;01/2024
La Pampa, LA PAMPA;5,150,000;396,000;2,790,000;12.59;19.22;12.06;73;58;-100;-100;66;50;La Pampa;LA PAMPA;01/2024
Chicoana, SALTA;644,000;2,510,000;125,000;14.25;14.10;7.91;73;73;-99;-99;65;65;Chicoana;SALTA;01/2024
General San Martín, CÓRDOBA;6,970,000;3,730,000;233,000;15.15;19.07;10.55;63;54;-99;-99;55;47;General San Martín;CÓRDOBA;01/2024
Caleu Caleu, LA PAMPA;426,000;133,000;268,000;16.07;13.56;12.12;65;65;-98;-97;55;55;Caleu Caleu;LA PAMPA;01/2024
Chimbas, SAN JUAN;1,230,000;1,280,000;3,280,000;14.54;16.85;11.20;70;64;-102;-98;62;57;Chimbas;SAN JUAN;01/2024
Moreno, BUENOS AIRES;16,700,000;19,100,000;28,800,000;12.30;14.71;8.24;58;58;-100;-100;53;53;Moreno;BUENOS AIRES;01/2024
El Carmen, JUJUY;6,650,000;4,760,000;717,000;11.25;11.97;9.22;81;78;-99;-99;75;75;El Carmen;JUJUY;01/2024
Lobos, BUENOS AIRES;1,500,000;322,000;741,000;12.36;16.91;8.32;62;56;-105;-104;57;48;Lobos;BUENOS AIRES;01/2024
Castelli, BUENOS AIRES;293,000;220,000;615,000;11.39;18.53;7.51;76;59;-99;-94;73;52;Castelli;BUENOS AIRES;01/2024
Famaillá, TUCUMÁN;1,130,000;3,070,000;36,200;9.10;11.67;8.39;96;70;-99;-96;92;69;Famaillá;TUCUMÁN;01/2024
Alberti, BUENOS AIRES;575,000;35,400;208,000;11.92;21.31;15.37;83;59;-100;-100;75;50;Alberti;BUENOS AIRES;01/2024
Arauco, LA RIOJA;233,000;1,690,000;12,900;13.72;10.34;15.74;70;64;-100;-74;63;60;Arauco;LA RIOJA;01/2024
Gastre, CHUBUT;21,800;--;--;1.29;--;--;929;929;-86;-86;889;889;Gastre;CHUBUT;01/2024
Colón, ENTRE RÍOS;2,750,000;3,830,000;1,370,000;10.03;11.36;12.03;77;68;-102;-102;75;62;Colón;ENTRE RÍOS;01/2024
San Antonio, JUJUY;247,000;408,000;8,380;13.44;6.61;9.08;82;82;-106;-106;76;76;San Antonio;JUJUY;01/2024
San Salvador, ENTRE RÍOS;614,000;670,000;2,550;13.29;14.64;19.95;70;66;-100;-99;64;57;San Salvador;ENTRE RÍOS;01/2024
Iglesia, SAN JUAN;100,000;--;1,100,000;4.85;--;10.11;590;89;-96;-96;605;83;Iglesia;SAN JUAN;01/2024
Río Senguer, CHUBUT;491,000;216;396,000;8.70;--;7.65;108;106;-93;-83;102;98;Río Senguer;CHUBUT;01/2024
La Rioja, LA RIOJA;12,100,000;8,340,000;1,650,000;14.12;16.78;10.71;68;60;-98;-98;61;54;La Rioja;LA RIOJA;01/2024
Simoca, TUCUMÁN;932,000;1,100,000;20,400;12.44;13.40;12.61;75;72;-97;-97;66;66;Simoca;TUCUMÁN;01/2024
Metán, SALTA;2,380,000;3,580,000;485,000;11.96;12.12;8.22;79;79;-100;-100;72;72;Metán;SALTA;01/2024
Leales, TUCUMÁN;1,640,000;3,840,000;20,300;13.15;12.69;7.97;76;69;-104;-104;68;67;Leales;TUCUMÁN;01/2024
General Juan Madariaga, BUENOS AIRES;490,000;453,000;2,180,000;11.14;15.74;11.30;87;58;-101;-101;80;47;General Juan Madariaga;BUENOS AIRES;01/2024
Cochinoca, JUJUY;108,000;1,080,000;2,810;13.59;11.13;9.54;76;76;-96;-94;66;66;Cochinoca;JUJUY;01/2024
San Martín, MENDOZA;4,730,000;1,860,000;2,220,000;12.22;12.47;10.97;76;70;-103;-101;69;65;San Martín;MENDOZA;01/2024
General Rodríguez, BUENOS AIRES;6,630,000;8,150,000;7,940,000;11.99;12.95;8.99;59;59;-102;-102;54;54;General Rodríguez;BUENOS AIRES;01/2024
Capayán, CATAMARCA;696,000;2,030,000;4,330;13.09;13.14;9.28;80;69;-100;-100;72;65;Capayán;CATAMARCA;01/2024
Olavarría, BUENOS AIRES;5,060,000;2,490,000;1,980,000;11.71;15.41;8.74;81;60;-102;-100;73;52;Olavarría;BUENOS AIRES;01/2024
Islas del Ibicuy, ENTRE RÍOS;884,000;2,210,000;21,400;11.41;10.47;8.20;83;67;-101;-100;76;63;Islas del Ibicuy;ENTRE RÍOS;01/2024
Berisso, BUENOS AIRES;575,000;1,760,000;3,360,000;16.35;18.77;10.99;54;53;-105;-104;46;46;Berisso;BUENOS AIRES;01/2024
Pila, BUENOS AIRES;361,000;57,500;1,540;11.22;15.49;7.10;62;62;-101;-101;59;57;Pila;BUENOS AIRES;01/2024
Lobería, BUENOS AIRES;527,000;230,000;946,000;15.54;11.88;9.24;65;65;-101;-100;57;57;Lobería;BUENOS AIRES;01/2024
Ledesma, JUJUY;5,820,000;7,460,000;334,000;10.89;14.43;10.01;82;74;-99;-99;77;69;Ledesma;JUJUY;01/2024
Las Flores, BUENOS AIRES;1,680,000;181,000;741,000;7.69;15.06;8.37;72;59;-102;-102;75;49;Las Flores;BUENOS AIRES;01/2024
General Güemes, CHACO;468,000;6,650,000;7,500;13.86;6.99;12.15;76;73;-104;-97;68;65;General Güemes;CHACO;01/2024
Lomas de Zamora, BUENOS AIRES;11,800,000;18,600,000;24,100,000;12.91;17.07;9.82;55;51;-100;-99;49;44;Lomas de Zamora;BUENOS AIRES;01/2024
La Plata, BUENOS AIRES;12,400,000;17,000,000;31,300,000;13.28;16.28;11.66;57;55;-102;-102;51;49;La Plata;BUENOS AIRES;01/2024
Campana, BUENOS AIRES;3,290,000;9,270,000;5,380,000;17.59;18.11;11.02;53;50;-101;-97;45;43;Campana;BUENOS AIRES;01/2024
Candelaria, MISIONES;478,000;2,980,000;115,000;12.29;9.86;13.57;76;76;-104;-100;68;68;Candelaria;MISIONES;01/2024
Rivadavia, BUENOS AIRES;756,000;222,000;567,000;15.33;17;8.49;62;62;-103;-101;55;55;Rivadavia;BUENOS AIRES;01/2024
Tunuyán, MENDOZA;3,940,000;874,000;1,010,000;8.83;13.12;10.85;81;73;-98;-98;79;67;Tunuyán;MENDOZA;01/2024
Maipú, MENDOZA;7,700,000;2,830,000;5,360,000;11.43;13;10.70;76;74;-101;-100;70;69;Maipú;MENDOZA;01/2024
San Roque, CORRIENTES;471,000;1,680,000;2,660;12.61;7.97;3.78;79;79;-97;-94;71;71;San Roque;CORRIENTES;01/2024
San Miguel, BUENOS AIRES;8,070,000;9,080,000;11,700,000;13.49;18.55;8.85;56;49;-100;-96;50;43;San Miguel;BUENOS AIRES;01/2024
Federación, ENTRE RÍOS;2,200,000;4,540,000;242,000;10.47;10.87;7.05;74;73;-102;-102;70;67;Federación;ENTRE RÍOS;01/2024
Junín, SAN LUIS;2,970,000;612,000;1,490,000;8.63;8.27;4.10;94;94;-103;-103;92;92;Junín;SAN LUIS;01/2024
Atreucó, LA PAMPA;372,000;20,400;697,000;16.42;16.73;12.95;68;67;-100;-93;58;58;Atreucó;LA PAMPA;01/2024
Castro Barros, LA RIOJA;109,000;365,000;--;17.50;13.30;--;65;65;-102;-102;55;55;Castro Barros;LA RIOJA;01/2024
Trenque Lauquen, BUENOS AIRES;1,920,000;582,000;864,000;13.22;14.26;9.21;62;62;-100;-100;56;56;Trenque Lauquen;BUENOS AIRES;01/2024
Rawson, SAN JUAN;2,510,000;2,010,000;4,870,000;13.89;18.52;11.31;70;62;-101;-97;62;55;Rawson;SAN JUAN;01/2024
Luján de Cuyo, MENDOZA;8,270,000;2,060,000;4,900,000;11.60;15.28;10.70;78;67;-101;-101;72;59;Luján de Cuyo;MENDOZA;01/2024
Realicó, LA PAMPA;929,000;84,400;415,000;13.87;16.48;11.28;64;64;-98;-98;57;57;Realicó;LA PAMPA;01/2024
Pilagás, FORMOSA;554,000;1,190,000;3,010;11.93;12.21;4.79;81;76;-98;-98;73;69;Pilagás;FORMOSA;01/2024
Salta, SALTA;24,100,000;37,600,000;7,530,000;11.27;14.37;7.97;79;66;-100;-98;74;62;Salta;SALTA;01/2024
Trancas, TUCUMÁN;2,220,000;2,450,000;29,800;9.89;6.36;2.71;79;79;-97;-94;75;75;Trancas;TUCUMÁN;01/2024
Almirante Brown, BUENOS AIRES;9,240,000;9,940,000;16,300,000;13.53;18.49;9.47;57;49;-101;-100;51;41;Almirante Brown;BUENOS AIRES;01/2024
Pellegrini, BUENOS AIRES;227,000;75,900;396,000;19.74;18.32;10.30;57;57;-100;-96;48;48;Pellegrini;BUENOS AIRES;01/2024
Saavedra, BUENOS AIRES;394,000;387,000;1,120,000;14.19;14.25;11.05;80;71;-103;-102;69;65;Saavedra;BUENOS AIRES;01/2024
General San Martín, LA RIOJA;84,400;320,000;245;15.62;6.17;--;62;62;-89;-89;53;53;General San Martín;LA RIOJA;01/2024
Santa Rosa, CATAMARCA;312,000;1,480,000;7,510;11.95;10.90;6.17;78;78;-99;-99;70;70;Santa Rosa;CATAMARCA;01/2024
Guatraché, LA PAMPA;191,000;9,390;424,000;16.44;15.32;15.20;60;60;-97;-97;51;51;Guatraché;LA PAMPA;01/2024
Cruz del Eje, CÓRDOBA;2,570,000;3,220,000;149,000;14.05;15.37;12.18;70;64;-101;-98;63;58;Cruz del Eje;CÓRDOBA;01/2024
25 de Mayo, SAN JUAN;376,000;90,700;166,000;12.54;16.87;10.28;71;64;-100;-96;65;56;25 de Mayo;SAN JUAN;01/2024
Florentino Ameghino, BUENOS AIRES;329,000;352,000;1,350;16.35;17.70;11.44;60;58;-98;-98;52;50;Florentino Ameghino;BUENOS AIRES;01/2024
Río Primero, CÓRDOBA;2,170,000;2,020,000;43,300;14.85;18.65;13.54;60;56;-99;-98;52;49;Río Primero;CÓRDOBA;01/2024
Magallanes, SANTA CRUZ;1,040,000;34,400;342,000;11.06;11.26;12.96;87;86;-97;-97;80;78;Magallanes;SANTA CRUZ;01/2024
Ñorquín, NEUQUÉN;197,000;--;222,000;10.82;--;9.17;99;85;-97;-97;85;85;Ñorquín;NEUQUÉN;01/2024
Mercedes, CORRIENTES;1,680,000;4,350,000;122,000;9.48;7.60;9.77;88;77;-101;-100;84;79;Mercedes;CORRIENTES;01/2024
Misiones, MISIONES;10,600,000;17,400,000;1,020,000;11.02;13.95;11.42;77;67;-100;-99;71;61;Misiones;MISIONES;01/2024
Fray Justo Santa María de Oro, CHACO;145,000;461,000;--;15.04;6.50;--;74;74;-103;-103;65;65;Fray Justo Santa María de Oro;CHACO;01/2024
Capitán Sarmiento, BUENOS AIRES;714,000;293,000;275,000;11.47;17.17;10.01;72;55;-104;-104;67;47;Capitán Sarmiento;BUENOS AIRES;01/2024
Santa Bárbara, JUJUY;642,000;2,210,000;3,850;9.74;10.30;8.39;103;75;-101;-90;99;80;Santa Bárbara;JUJUY;01/2024
General Viamonte, BUENOS AIRES;315,000;109,000;717,000;16.27;20.76;12.15;64;50;-103;-101;55;42;General Viamonte;BUENOS AIRES;01/2024
Tigre, BUENOS AIRES;12,500,000;16,300,000;15,700,000;12.95;18.46;9.44;54;50;-98;-96;49;43;Tigre;BUENOS AIRES;01/2024
Guaraní, MISIONES;408,000;2,620,000;16,800;12.50;7.96;13.15;86;85;-100;-95;77;77;Guaraní;MISIONES;01/2024
Tres de Febrero, BUENOS AIRES;6,340,000;10,100,000;10,700,000;14.25;16.75;11.73;52;51;-98;-97;46;45;Tres de Febrero;BUENOS AIRES;01/2024
Monte Hermoso, BUENOS AIRES;1,830,000;822,000;3,460,000;10.21;11.95;7.60;71;71;-101;-101;68;68;Monte Hermoso;BUENOS AIRES;01/2024
La Paz, CATAMARCA;2,550,000;2,280,000;27,200;13.68;15.11;4.12;65;61;-96;-80;58;58;La Paz;CATAMARCA;01/2024
General Villegas, BUENOS AIRES;886,000;1,490,000;13,200;13.57;15.64;11.23;66;66;-103;-103;59;59;General Villegas;BUENOS AIRES;01/2024
Iruya, SALTA;62,600;63,500;--;0.71;1.68;--;1,717;965;-91;-91;1,468;919;Iruya;SALTA;01/2024
Berazategui, BUENOS AIRES;5,490,000;5,570,000;12,400,000;15.01;17.55;11.26;55;52;-100;-100;48;45;Berazategui;BUENOS AIRES;01/2024
San Martín, SANTIAGO DEL ESTERO;118,000;433,000;3,070;10.61;8.89;12.64;70;70;-92;-92;59;59;San Martín;SANTIAGO DEL ESTERO;01/2024
Biedma, CHUBUT;4,230,000;584,000;10,200,000;11.61;14.26;10.19;79;71;-101;-99;72;63;Biedma;CHUBUT;01/2024
25 de Mayo, CHACO;109,000;1,740,000;19,800;16.14;10.60;11.31;73;70;-100;-98;64;64;25 de Mayo;CHACO;01/2024
Malargüe, MENDOZA;881,000;146,000;1,190,000;11;16.47;11.88;93;74;-100;-100;86;65;Malargüe;MENDOZA;01/2024
Copo, SANTIAGO DEL ESTERO;12,700;2,290,000;12,900;16.57;9.31;8.95;79;79;-94;-90;70;70;Copo;SANTIAGO DEL ESTERO;01/2024
Federal, ENTRE RÍOS;96,900;1,620,000;--;19.42;9.84;--;61;61;-98;-98;52;52;Federal;ENTRE RÍOS;01/2024
Minas, CÓRDOBA;38,800;395,000;--;21.75;19.03;--;55;55;-97;-97;47;47;Minas;CÓRDOBA;01/2024
Zonda, SAN JUAN;380,000;98,900;124,000;16.24;7.42;6.67;68;68;-100;-99;59;59;Zonda;SAN JUAN;01/2024
Concordia, ENTRE RÍOS;5,520,000;7,490,000;547,000;11.98;12.90;9.10;70;65;-100;-100;65;58;Concordia;ENTRE RÍOS;01/2024
Santa Fé, SANTA FE;16,500,000;17,700,000;7,710,000;10.60;13.82;9.53;68;60;-101;-101;65;53;Santa Fé;SANTA FE;01/2024
Santo Tomé, CORRIENTES;3,180,000;3,760,000;16,100;8.05;11.27;13.41;91;77;-104;-99;94;71;Santo Tomé;CORRIENTES;01/2024
Molinos, SALTA;12,200;531,000;--;1.39;17.10;--;902;63;-91;-91;830;56;Molinos;SALTA;01/2024
Sanagasta, LA RIOJA;504,000;262;--;12.74;--;--;73;69;-101;-101;67;60;Sanagasta;LA RIOJA;01/2024
General Pueyrredón, BUENOS AIRES;27,900,000;15,800,000;29,800,000;12.43;14.43;9.92;66;63;-99;-98;61;56;General Pueyrredón;BUENOS AIRES;01/2024
Burruyacú, TUCUMÁN;1,040,000;3,520,000;7,230;13.49;8.44;10.35;72;72;-104;-96;64;64;Burruyacú;TUCUMÁN;01/2024
Robles, SANTIAGO DEL ESTERO;2,440,000;4,380,000;194,000;11.74;12.52;9.22;78;73;-99;-98;71;71;Robles;SANTIAGO DEL ESTERO;01/2024
Dolores, BUENOS AIRES;1,480,000;605,000;1,800,000;9.43;20.09;4.95;70;51;-99;-99;68;44;Dolores;BUENOS AIRES;01/2024
Anta, SALTA;769,000;8,000,000;138,000;13;9.73;10.82;77;77;-100;-99;70;70;Anta;SALTA;01/2024
Cushamen, CHUBUT;420,000;30,900;1,500,000;3.65;7.63;8.18;371;107;-98;-98;270;100;Cushamen;CHUBUT;01/2024
San Javier, CÓRDOBA;2,700,000;4,100,000;68,300;10.10;13.17;4.03;81;68;-104;-100;77;64;San Javier;CÓRDOBA;01/2024
Morón, BUENOS AIRES;7,180,000;7,210,000;10,200,000;13.56;17.76;10.03;54;49;-97;-96;48;43;Morón;BUENOS AIRES;01/2024
General Paz, CORRIENTES;356,000;1,470,000;14,700;12.97;10.48;6.80;79;79;-102;-99;71;71;General Paz;CORRIENTES;01/2024
Jiménez, SANTIAGO DEL ESTERO;170,000;1,690,000;15,000;12.01;9.48;12.03;72;72;-101;-99;67;67;Jiménez;SANTIAGO DEL ESTERO;01/2024
Guasayán, SANTIAGO DEL ESTERO;1,090,000;1,080,000;48,400;6.28;11.92;4.18;81;66;-98;-90;88;57;Guasayán;SANTIAGO DEL ESTERO;01/2024
Banda, SANTIAGO DEL ESTERO;2,850,000;12,500,000;963,000;14.31;13.76;7.48;65;65;-101;-100;58;58;Banda;SANTIAGO DEL ESTERO;01/2024
Pehuajó, BUENOS AIRES;1,660,000;348,000;3,060,000;14.75;16.67;4.06;61;61;-103;-99;54;54;Pehuajó;BUENOS AIRES;01/2024
Rivadavia, MENDOZA;2,360,000;1,300,000;1,100,000;12.25;13.26;11;76;68;-103;-99;69;62;Rivadavia;MENDOZA;01/2024
Primero de Mayo, CHACO;279,000;988,000;6,950;12.06;8.79;8.56;75;75;-105;-100;67;67;Primero de Mayo;CHACO;01/2024
Ambato, CATAMARCA;165,000;1,470,000;--;1.58;9.02;--;1,567;91;-98;-98;1,431;95;Ambato;CATAMARCA;01/2024
Chapaleufú, LA PAMPA;655,000;64,200;3,800;13.74;15.20;8.72;65;65;-98;-98;56;56;Chapaleufú;LA PAMPA;01/2024
Zapala, NEUQUÉN;2,740,000;156,000;3,290,000;11.11;15.88;10.26;84;75;-100;-97;77;66;Zapala;NEUQUÉN;01/2024
Salto, BUENOS AIRES;1,830,000;457,000;1,400,000;11.16;17.83;9.21;67;57;-99;-99;62;48;Salto;BUENOS AIRES;01/2024
Escalante, CHUBUT;20,000,000;1,540,000;12,500,000;11.93;15.82;12.49;76;71;-98;-97;69;63;Escalante;CHUBUT;01/2024
Quemú Quemú, LA PAMPA;400,000;14,300;2,920;14.39;12.87;12.70;75;72;-98;-98;65;64;Quemú Quemú;LA PAMPA;01/2024
Florentino Ameghino, CHUBUT;78,800;20,300;96,300;1.76;10.54;13.21;916;82;-89;-89;871;74;Florentino Ameghino;CHUBUT;01/2024
Las Colonias, SANTA FE;3,300,000;4,160,000;77,800;12.10;17.51;16.27;65;57;-102;-102;60;49;Las Colonias;SANTA FE;01/2024
San Miguel, CORRIENTES;327,000;557,000;5,050;12.89;10.32;15.65;73;68;-98;-95;66;59;San Miguel;CORRIENTES;01/2024
Chacabuco, SAN LUIS;2,720,000;396,000;127,000;10.14;12.46;13.71;87;80;-99;-99;82;70;Chacabuco;SAN LUIS;01/2024
Conhelo, LA PAMPA;683,000;12,500;309,000;12.89;21.45;14.77;78;53;-101;-101;70;46;Conhelo;LA PAMPA;01/2024
Cañuelas, BUENOS AIRES;2,750,000;1,580,000;3,140,000;13.03;13.60;4.88;58;58;-101;-101;53;53;Cañuelas;BUENOS AIRES;01/2024
Orán, SALTA;8,180,000;23,700,000;1,570,000;8.10;12.76;6.77;109;72;-102;-99;106;70;Orán;SALTA;01/2024
O'Higgins, CHACO;103,000;1,390,000;5,200;17.07;10.83;8.46;70;70;-100;-95;61;61;O'Higgins;CHACO;01/2024
Juan Bautista Alberdi, TUCUMÁN;1,240,000;2,230,000;150,000;11.33;8.54;11.93;85;82;-99;-99;79;79;Juan Bautista Alberdi;TUCUMÁN;01/2024
Pichi Mahuida, RÍO NEGRO;824,000;103,000;1,830,000;12.13;19.68;10.21;64;59;-96;-96;57;51;Pichi Mahuida;RÍO NEGRO;01/2024
Presidencia de la Plaza, CHACO;111,000;926,000;1,550;11.94;14.73;13.84;78;66;-104;-100;72;57;Presidencia de la Plaza;CHACO;01/2024
Comandante Fernández, CHACO;2,650,000;8,910,000;441,000;11.46;11.47;12.60;79;64;-100;-98;73;60;Comandante Fernández;CHACO;01/2024
Loreto, SANTIAGO DEL ESTERO;591,000;2,040,000;18,800;9.84;14.26;3.04;79;63;-103;-99;79;59;Loreto;SANTIAGO DEL ESTERO;01/2024
San Isidro, BUENOS AIRES;6,010,000;7,500,000;8,030,000;16.25;18.45;13.21;50;49;-97;-96;43;43;San Isidro;BUENOS AIRES;01/2024
Bolívar, BUENOS AIRES;814,000;529,000;2,350,000;17.25;20.99;6.24;62;51;-102;-99;53;42;Bolívar;BUENOS AIRES;01/2024
Cachi, SALTA;36,100;1,190,000;--;0.91;15.57;--;1,468;70;-98;-98;1,306;64;Cachi;SALTA;01/2024
Valle Grande, JUJUY;--;39,100;--;--;0.47;--;--;--;--;--;--;--;Valle Grande;JUJUY;01/2024
Yavi, JUJUY;231,000;3,150,000;842;12.61;7.51;11.20;84;84;-101;-95;75;75;Yavi;JUJUY;01/2024
La Matanza, BUENOS AIRES;31,200,000;36,000,000;54,300,000;16.69;18.36;10.83;51;49;-98;-95;43;42;La Matanza;BUENOS AIRES;01/2024
Bermejo, CHACO;494,000;2,590,000;9,410;13.31;12.23;7.72;71;67;-100;-96;64;63;Bermejo;CHACO;01/2024
Almirante Brown, CHACO;159,000;3,260,000;3,360;15.87;10.54;9.40;72;70;-99;-93;63;63;Almirante Brown;CHACO;01/2024
Tumbaya, JUJUY;237,000;909,000;6,730;14.82;14.29;9.99;74;74;-95;-89;65;65;Tumbaya;JUJUY;01/2024
Diamante, ENTRE RÍOS;1,100,000;2,630,000;39,300;14.66;14.33;15.24;66;63;-103;-102;59;55;Diamante;ENTRE RÍOS;01/2024
Empedrado, CORRIENTES;969,000;1,200,000;10,200;10.95;6.96;7.39;80;80;-102;-102;75;75;Empedrado;CORRIENTES;01/2024
Navarro, BUENOS AIRES;1,010,000;173,000;393,000;16.01;11.26;9.45;55;55;-100;-100;49;42;Navarro;BUENOS AIRES;01/2024
Los Andes, SALTA;119,000;643,000;--;1.06;17.52;--;1,380;73;-93;-93;1,237;66;Los Andes;SALTA;01/2024
Gobernador Dupuy, SAN LUIS;513,000;13,100;1,020,000;14.71;1.72;7.82;73;73;-100;-98;65;65;Gobernador Dupuy;SAN LUIS;01/2024
Benito Juárez, BUENOS AIRES;1,520,000;238,000;350,000;11.26;17.38;8.13;76;64;-99;-99;70;55;Benito Juárez;BUENOS AIRES;01/2024
San Antonio, RÍO NEGRO;3,030,000;1,070,000;7,000,000;4.75;13.65;10.73;102;82;-97;-97;120;74;San Antonio;RÍO NEGRO;01/2024
San Pedro, BUENOS AIRES;4,310,000;2,060,000;775,000;12.62;16.93;11.87;57;57;-98;-98;52;49;San Pedro;BUENOS AIRES;01/2024
Picunches, NEUQUÉN;571,000;6,140;35,400;8.15;1.39;10.41;99;95;-105;-103;99;91;Picunches;NEUQUÉN;01/2024
Tucumán, TUCUMÁN;17,600,000;26,900,000;5,190,000;13.08;16.70;9.40;72;57;-98;-97;65;53;Tucumán;TUCUMÁN;01/2024
San Cayetano, BUENOS AIRES;193,000;312,000;20,000;12.50;15.50;8.10;72;70;-107;-104;66;62;San Cayetano;BUENOS AIRES;01/2024
Luján, BUENOS AIRES;2,610,000;4,890,000;5,150,000;20.06;15.43;11.75;51;51;-102;-102;42;42;Luján;BUENOS AIRES;01/2024
