Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Departamento;Provincia;Periodo
Patiño, FORMOSA;2,030,000;13,500,000;40,800;14.90;8.59;13.72;71;65;-98;-91;66;63;Patiño;FORMOSA;07/2024
Ramallo, BUENOS AIRES;6,370,000;5,050,000;778,000;12.67;14;11.74;63;51;-102;-100;62;49;Ramallo;BUENOS AIRES;07/2024
Adolfo Alsina, BUENOS AIRES;391,000;408,000;2,810,000;17.27;16.73;13.05;65;60;-99;-98;59;59;Adolfo Alsina;BUENOS AIRES;07/2024
General Arenales, BUENOS AIRES;2,050,000;212,000;153,000;16.32;12.26;18.95;56;50;-100;-95;52;43;General Arenales;BUENOS AIRES;07/2024
San Lorenzo, CHACO;212,000;1,530,000;3,950;17.02;11.44;17.39;67;62;-99;-92;60;59;San Lorenzo;CHACO;07/2024
La Paz, ENTRE RÍOS;3,350,000;7,280,000;20,600;12.68;13.92;12.94;75;55;-98;-98;74;54;La Paz;ENTRE RÍOS;07/2024
General Ocampo, LA RIOJA;76,000;844,000;901;17.71;16.07;16.84;61;54;-90;-90;55;51;General Ocampo;LA RIOJA;07/2024
San Pedro, MISIONES;75,200;1,780,000;490;15.80;10.30;3.50;74;74;-98;-98;70;70;San Pedro;MISIONES;07/2024
El Alto, CATAMARCA;424,000;453,000;2,150;17.37;16.43;6.03;61;61;-95;-95;54;54;El Alto;CATAMARCA;07/2024
Sarmiento, CHUBUT;2,540,000;156,000;633,000;10.84;14.58;14.19;91;75;-99;-93;85;71;Sarmiento;CHUBUT;07/2024
Bariloche, RÍO NEGRO;13,500,000;7,590,000;26,000,000;10.49;14.89;10.53;81;66;-99;-99;81;65;Bariloche;RÍO NEGRO;07/2024
Junín, BUENOS AIRES;7,450,000;4,580,000;5,460,000;15.55;19.61;15.53;59;49;-97;-97;56;45;Junín;BUENOS AIRES;07/2024
Villaguay, ENTRE RÍOS;2,860,000;3,920,000;21,300;15;13.47;17.92;63;58;-100;-99;61;55;Villaguay;ENTRE RÍOS;07/2024
Rojas, BUENOS AIRES;2,880,000;1,020,000;1,560,000;10.59;18.89;13.36;61;50;-101;-101;63;45;Rojas;BUENOS AIRES;07/2024
Alberdi, SANTIAGO DEL ESTERO;83,400;2,010,000;8,010;12.96;10.63;6.56;77;77;-98;-95;74;74;Alberdi;SANTIAGO DEL ESTERO;07/2024
General Juan F. Quiroga, LA RIOJA;23,500;141,000;1,080;1.63;17.71;11.92;886;62;-89;-89;879;56;General Juan F. Quiroga;LA RIOJA;07/2024
Juan F. Ibarra, SANTIAGO DEL ESTERO;49,700;1,830,000;4,510;15.83;14.10;7.27;71;69;-100;-94;65;64;Juan F. Ibarra;SANTIAGO DEL ESTERO;07/2024
Tinogasta, CATAMARCA;369,000;7,270,000;29,700;1.17;9.30;10.25;1,501;84;-92;-92;1,346;87;Tinogasta;CATAMARCA;07/2024
La Paz, MENDOZA;1,270,000;356,000;19,400;10.55;15.81;10.36;86;67;-102;-99;84;62;La Paz;MENDOZA;07/2024
General Roca, CÓRDOBA;5,440,000;1,640,000;82,500;13.93;20.06;13.68;67;57;-97;-97;63;54;General Roca;CÓRDOBA;07/2024
Libertador General San Martín, CHACO;1,080,000;4,790,000;11,800;16.27;13.46;14.42;67;62;-97;-91;63;61;Libertador General San Martín;CHACO;07/2024
Huiliches, NEUQUÉN;2,490,000;550,000;1,600,000;8.23;11.62;12.20;94;86;-100;-97;97;84;Huiliches;NEUQUÉN;07/2024
San Cosme, CORRIENTES;2,110,000;2,240,000;86,000;14.96;14.23;15.41;68;58;-100;-99;64;58;San Cosme;CORRIENTES;07/2024
2 de Abril, CHACO;72,200;1,110,000;--;17.64;11.12;--;69;69;-94;-94;64;64;2 de Abril;CHACO;07/2024
Laishi, FORMOSA;331,000;2,120,000;5,130;12.10;11.92;10.68;74;71;-100;-99;68;68;Laishi;FORMOSA;07/2024
Punilla, CÓRDOBA;16,100,000;19,900,000;2,500,000;14.97;17.38;11.81;65;52;-100;-96;61;51;Punilla;CÓRDOBA;07/2024
Tres Lomas, BUENOS AIRES;1,010,000;8,480;176,000;15.70;11.31;6.74;57;57;-99;-92;54;54;Tres Lomas;BUENOS AIRES;07/2024
Juan Martín de Pueyrredón, SAN LUIS;26,100,000;6,110,000;25,500,000;11.85;13.81;11.37;81;65;-100;-97;79;67;Juan Martín de Pueyrredón;SAN LUIS;07/2024
Vinchina, LA RIOJA;48,700;351,000;5,950;15.41;14.28;1.72;76;63;-95;-90;69;57;Vinchina;LA RIOJA;07/2024
Uruguay, ENTRE RÍOS;4,840,000;12,400,000;1,850,000;12.83;11.61;13.04;67;58;-102;-101;66;56;Uruguay;ENTRE RÍOS;07/2024
Chacabuco, BUENOS AIRES;3,760,000;2,600,000;3,110,000;14.53;15.86;10.19;61;52;-100;-99;58;49;Chacabuco;BUENOS AIRES;07/2024
